Regulatory Document,Regulation number,file_name,Topic represented by edges in graph
Substantial Acquisition of Shares and Takeovers,regulation  23(6),1e35d373fb2f666e729a13889ad52169.docx,"['board', 'acquirer', 'letter', 'acquirers', 'merchant']"
Substantial Acquisition of Shares and Takeovers,"regulation ,1997(the""sebi)",1e35d373fb2f666e729a13889ad52169.docx,"['disa', 'india', 'holding', 'limited', 'industrial']"
Substantial Acquisition of Shares and Takeovers,regulation  18),1e35d373fb2f666e729a13889ad52169.docx,"['offer', 'letter', 'terms', 'india', 'shares']"
Substantial Acquisition of Shares and Takeovers,regulation  24(6),1e35d373fb2f666e729a13889ad52169.docx,"['certification', 'fulfillment', 'code', 'banker', 'merchant']"
Substantial Acquisition of Shares and Takeovers,regulation  3(2),20022dc433a92778adb29dc68e4ca1e1.docx,"['shares', 'target', 'company', 'shri', 'yogen']"
Substantial Acquisition of Shares and Takeovers,regulation  3(3),20022dc433a92778adb29dc68e4ca1e1.docx,"['shares', 'yogen', 'target', 'allottee', 'obligations']"
Substantial Acquisition of Shares and Takeovers,regulation  3),20022dc433a92778adb29dc68e4ca1e1.docx,"['shareholding', 'change', 'acquirer', 'share', 'capital']"
Foreign Portfolio Investors,"regulation ,2014(`sebi)",20389fe2f5ad89903db676e21c5ce418.docx,"['day', 'foreign', 'ncds', 'maturity', 'portfolio']"
Foreign Portfolio Investors,regulation  21(1),20389fe2f5ad89903db676e21c5ce418.docx,"['investment', 'ncd', 'company', 'paragraph', 'letter']"
Alternative Investment Funds,regulation  15),215d34433b80661cbae35164b16ebe4c.docx,"['funds', 'investment', 'capital', 'fund', 'percent']"
Alternative Investment Funds,regulation  15(c),215d34433b80661cbae35164b16ebe4c.docx,"['fund', 'funds', 'investment', 'investments', 'limit']"
Alternative Investment Funds,regulation  17(a),215d34433b80661cbae35164b16ebe4c.docx,"['fund', 'funds', 'investment', 'limit', 'guidance']"
Alternative Investment Funds,regulation  2(1),215d34433b80661cbae35164b16ebe4c.docx,"['funds', 'investment', 'conditions', 'alternative', 'corpus']"
Alternative Investment Funds,regulation  17),215d34433b80661cbae35164b16ebe4c.docx,"['funds', 'investment', 'fund', 'conditions', 'corpus']"
Substantial Acquisition of Shares and Takeovers,regulation  3(2),2051347963556930692641aa86d15d0c.docx,"['equity', 'guidance', 'share', 'capital', 'group']"
Substantial Acquisition of Shares and Takeovers,regulation  3(2),23081ce213a6d025dc456172ad94076e.docx,"['exchange', 'shares', 'reference', 'letter', 'mtn']"
Substantial Acquisition of Shares and Takeovers,regulation  14(2),23081ce213a6d025dc456172ad94076e.docx,"['shares', 'reference', 'letter', 'shareholders', 'requirements']"
Substantial Acquisition of Shares and Takeovers,"regulation ,1997()",23081ce213a6d025dc456172ad94076e.docx,"['shares', 'reference', 'letter', 'shareholders', 'requirements']"
Substantial Acquisition of Shares and Takeovers,"regulation ,1997(sastregulations)",23081ce213a6d025dc456172ad94076e.docx,"['shares', 'reference', 'letter', 'shareholders', 'requirements']"
Prohibition of Insider Trading,regulation  13(1),23081ce213a6d025dc456172ad94076e.docx,"['requirements', 'reference', 'position', 'letter', 'information']"
Substantial Acquisition of Shares and Takeovers,regulation  3),232368d73942744c955b02c42ec449e1.docx,"['shares', 'transfer', 'transfers', 'tranches', 'sale']"
Substantial Acquisition of Shares and Takeovers,regulation  3(2),232368d73942744c955b02c42ec449e1.docx,"['acquisition', 'shareholding', 'shares', 'listing', 'limit']"
Substantial Acquisition of Shares and Takeovers,regulation  10(5),232368d73942744c955b02c42ec449e1.docx,"['continuation', 'letter', 'sale', 'exchange', 'aone']"
Substantial Acquisition of Shares and Takeovers,regulation  10(6),232368d73942744c955b02c42ec449e1.docx,"['continuation', 'letter', 'sale', 'exchange', 'aone']"
